Gene_name,Com_Genes_No
SAP30BP,2959
MEIOC,2960
MARCO,2961
PPARGC1B,2960
KCNH1,2960
KCTD14,2959
DGKQ,2959
GATC,2960
SIK1B,2961
SPO11,2962
SMIM42,2959
ADGRL2,2963
ZNF780B,2959
RNF24,2960
UBE3A,2959
VPS33B,2961
GPR63,2961
TRBV6-2,2961
HOXB5,2962
RUNX2,2962
LCN10,2962
SOCS1,2960
RADX,2960
PRY,2959
PRSS3,2961
ENSG00000269741,2959
LRRC19,2960
BCL2L13,2959
ASZ1,2959
TRIM6-TRIM34,2960
CIBAR1,2959
TRAJ5,2958
TMEM255B,2959
NIT2,2962
KRTAP9-6,2959
FAM110C,2961
LYRM2,2960
ENSG00000288625,2960
SAMD14,2960
RNF165,2959
NCR1,2959
EIF3D,2959
ARF5,2960
CBLL1,2960
MED13,2960
EPM2A,2961
FAM240B,2962
TM9SF4,2960
CRIM1,2959
RGS20,2960
SNX24,2958
KIAA1217,2960
LILRB1,2961
CRYAA2,2960
TAX1BP1,2960
CFAP97D1,2960
GPA33,2961
RNF183,2961
MLPH,2961
IZUMO2,2960
PNPLA5,2960
DNAJB6,2960
CALML6,2960
KRTAP15-1,2960
THEM6,2959
SLC27A1,2959
COX7A2,2961
SLC25A40,2960
USP54,2961
SLC7A11,2960
STMN1,2962
WDR5B,2960
PWWP4,2960
TRBC2,2958
ZNF846,2960
SLC38A1,2961
GLB1L2,2961
LAMA3,2961
TM4SF20,2960
CENPI,2961
TSPAN6,2960
FLG2,2961
GGT2,2960
EDA2R,2961
CLEC1B,2959
HAS2,2960
DND1,2958
FBN3,2960
NCKAP5L,2961
DRAM2,2960
BARX2,2960
AP1AR,2959
TP53TG5,2959
IGSF10,2959
OR56B2P,2961
MON2,2961
MATK,2960
HCLS1,2961
CCSER1,2960
IL1R1,2960
RNF145,2960
ACER1,2961
C2orf76,2960
PAK2,2961
PICALM,2960
SYT5,2960
TANGO6,2961
FNDC1,2961
LYRM1,2959
BANP,2960
DPM2,2960
OR56B4,2959
MAGEA6,2961
MASP1,2960
GC,2960
GCSH,2961
ABCB6,2960
MORN2,2958
UNC5C,2960
SLC27A4,2959
MFSD13A,2960
DNASE1,2960
SMAD7,2962
CEP192,2961
RCE1,2960
OTULINL,2959
CRYBA4,2962
ICA1,2961
ZNF106,2961
ZNF805,2961
HTR2C,2960
CDK2,2960
REEP5,2961
PFN4,2960
C22orf31,2960
NUAK1,2963
C4B,2963
AKAP17A,2960
PYGO1,2960
GYPB,2960
IL10,2958
ZNF720,2958
DRC3,2961
SYNE4,2959
DRD2,2960
HACL1,2959
MRPL43,2962
DYNLT5,2960
ITPRIPL1,2961
NUP50,2960
HPRT1,2958
TENT4A,2959
SNW1,2959
ENSG00000255432,2960
